serial,folder,sold_type,engine_primary,engine_next,skip_reason,i_duty,um,ust,steps,connection,phases,verdict
"E-CV2260157-159","VCV","CV2III-600Y/72.5-10193G","CV2III-600Y/72.5-10193G","CM2III-500Y/72.5B-10193G | CM2III-600Y/72.5B-10193G | SHZVIII-600Y/72.5B-10193G","","393.6","72.5","1270.2","8","Y","III","exact"
"E-CV2260160-161","VCV","","","","no sold_type","","","1958","9","","","skip"
"E-CV2260162-164","VCV","CV2III-600Y/72.5-10193G","","","no transformer I","","72.5","","","Y","III","skip"
"E-CV2260165-166","VCV","CV2III-600Y/72.5-10191W","CV2III-600Y/72.5-10191W","CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W | SHZVIII-400Y/72.5B-10191W","","351","72.5","1182","9","Y","III","exact"
"E-CV2260167-169","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","160.9","72.5","862.5","8","D","III","exact"
"E-CV2260170","VCV","CV2III-350D/145-10193W","","","no transformer I","","145","1725","","D","III","skip"
"E-CV2260171","VCV","CV2III-600Y/72.5-10191W","CV2III-600Y/72.5-10191W","CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W | SHZVIII-600Y/72.5B-10191W","","432","72.5","606","9","Y","III","exact"
"E-CV2260172","VCV","","","","no sold_type","","","","","","","skip"
"E-CV2260173","VCV","CV2III-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","205.83","72.5","476","8","Y","III","exact"
"E-CV2260174-176","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","71.01","72.5","862.5","8","D","III","exact"
"E-CV2260177-178","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","71","72.5","862.5","8","D","III","exact"
"E-CV2260179-180","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","268.3","72.5","862.5","8","D","III","exact"
"E-CV2260181-182","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","161","145","1725","8","D","III","exact"
"E-CV2260183-184","VCV","CV2III-600Y/72.5-10193W","CV2III-600Y/72.5-10193W","CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W | SHZVIII-600Y/72.5B-10193W","","464.9","72.5","862.5","8","Y","III","exact"
"E-CV2260185","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","85.3","145","1725","8","D","III","exact"
"E-CV2260186-187","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","42.6","145","1725","8","D","III","exact"
"E-CV2260188","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","40.3","145","1725","8","D","III","exact"
"E-CV2260189-190","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","80.51","72.5","862.5","8","D","III","exact"
"E-CV2260191-193","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","71.01","72.5","862.5","8","D","III","exact"
"E-CV2260194","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","71","72.5","862.5","8","D","III","exact"
"E-CV2260195","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","72.46","145","1725","8","D","III","exact"
"E-CV2260196","VCV","CV2III-350D/145-12231W","CV2III-350D/145-12231W","CV2III-600D/145-12231W | CM2III-500D/170D-12231W | CM2III-600D/170D-12231W","","40.3","145","1254.5","11","D","III","exact"
"E-CV2260197","VCV","","","","no sold_type","","","","","","","skip"
"E-CV2260198","VCV","CV2III-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","167.3","72.5","996","8","Y","III","exact"
"E-CV2260199-202","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","60.4","72.5","862.5","8","D","III","exact"
